Title,price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,id
Sheraton Grand Bangalore at Brigade Gateway,"ýýý 2,800",Rajajinagar | 5.0 km from Lottegollahalli Railway Station,,4, (Very Good),294,40%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,108
Southern Star Bangalore,"ýýý 2,066",Ashok Nagar | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1247 Off,4.5, (Excellent),158,15%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,109
Icon Premier Hotel by Bhagini,"ýýý 2,029",Outer Ring Road | 620 m from RMZ Ecospace,Exclusive Offer - HDFC Credit Card Users. Get INR 1261 Off,4.3, (Very Good),184,28%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,110
OYO 11915 Varcity Park,"ýýý 1,645",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 406 Off,4.5, (Excellent),393,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,111
Liwa - The Transit Hotel,"ýýý 1,291",Yashoda Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 626 Off,3.7, (Good),561,51%,"['Lounge', 'Outdoor Sports', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,112
Arna Hotel,"ýýý 1,688",Sonnapanahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 820 Off,4.1, (Very Good),370,32%,"['Free Parking', 'Free Shuttle Service', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,113
Regenta Inn Indiranagar,"ýýý 1,993",Binnamangala,Exclusive Offer - HDFC Credit Card Users. Get INR 868 Off,2.8,,262,51%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,114
OYO 5964 near Manyata Tech Park,ýýý 889,Jakkur | 4.5 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 219 Off,3.8, (Good),499,28%,"['ATM', 'Free Wi-Fi', 'Kitchenette']",Bangalore,09-08-2021,11-08-2021,115
Grand Seasons - The Business Hotel,"ýýý 1,266",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 615 Off,4.3, (Very Good),105,16%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,116
Capital O 46356 White Mg,"ýýý 1,881",Ulsoor | 860 m from Ulsoor Lake,Exclusive Offer - HDFC Credit Card Users. Get INR 465 Off,4.5, (Excellent),128,18%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,117
"La Classic- Attibele, Hosur","ýýý 2,750",Yadavanahalli | 30.4 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 702 Off,3.6, (Good),69,51%,"['Lounge', 'Free Parking', 'Lawn']",Bangalore,09-08-2021,11-08-2021,118
The Chevron Brigade,"ýýý 1,520",Ashok Nagar | 65 m from Garuda Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,4, (Very Good),119,16%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,119
Icon Business Hotel by Bhagini,"ýýý 1,194",HAL old airport road | 340 m from Sankara Eye Hospital - Bangalore,Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,4, (Very Good),53,51%,"['Bar', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,120
OYO 7897 Status Suites,"ýýý 1,475",Domlur Layout | 4.4 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 364 Off,4.2, (Very Good),299,15%,"['ATM', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,121
The Urban Nest,"ýýý 1,513",Sanjaynagar,Exclusive Offer - HDFC Credit Card Users. Get INR 940 Off,3.3, (Good),769,24%,"['Free Parking', 'Bakery', 'Cafe']",Bangalore,09-08-2021,11-08-2021,122
Bloomrooms @ Indiranagar,"ýýý 1,805", | 750 m from 100 Feet Road Indiranagar,,3.9, (Good),526,20%,"['Free Parking', 'Business Centre', 'Vehicle Rentals']",Bangalore,09-08-2021,11-08-2021,123
REGENTA PLACE BY ROYAL ORCHID HOTELS,"ýýý 1,538",Shivaji Nagar | 3.8 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 669 Off,3.5, (Good),79,51%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,124
Capital O 28398 Mysore Gate,"ýýý 1,309",Mysore road | 3.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 323 Off,4.4, (Very Good),129,24%,"['Free Parking', 'Bar', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,125
OYO TOWNHOUSE 332 Varthur main road,"ýýý 1,381",HAL old airport road,Exclusive Offer - HDFC Credit Card Users. Get INR 341 Off,4.4, (Very Good),528,5%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,09-08-2021,11-08-2021,126
Srinidhi Residency,ýýý 841,Murugeshpalya | 1.2 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 214 Off,3.7, (Good),445,18%,"['Business Centre', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,127
Rest Inn SKR a Petrichor Hotel,"ýýý 1,617",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 412 Off,4.2, (Very Good),107,51%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,128
Hotel Vellara,"ýýý 1,351",Richmond road | 990 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,3.9, (Good),63,51%,"['ATM', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,129
OYO 12737 JK Residency,"ýýý 1,481",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 366 Off,3.6, (Good),107,15%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,130
Shoba Tulip,ýýý 749,Devinagar,Exclusive Offer - HDFC Credit Card Users. Get INR 754 Off,4.2, (Very Good),41,25%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,131
Tristar Service Apartments,"ýýý 2,209",Doopanahalli | 930 m from 100 Feet Road Indiranagar,Exclusive Offer - HDFC Credit Card Users. Get INR 564 Off,4.4, (Very Good),300,16%,"['Kitchenette', 'Living Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,132
Radisson Blu Bengaluru Outer Ring Road,"ýýý 3,219",Outer Ring Road,,3.1, (Good),79,51%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,133
Kensington Suites,"ýýý 1,585",Marathahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 1822 Off,4.1, (Very Good),352,38%,"['Business Centre', 'Power Backup']",Bangalore,09-08-2021,11-08-2021,134
Springs Hotel and Spa,"ýýý 2,203",Sudhama Nagar | 3.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1070 Off,4.9, (Excellent),331,6%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,135
Ginger (Inner Ring Road),"ýýý 1,863",Domlur Layout | 2.4 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 942 Off,4, (Very Good),183,22%,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,136
Halcyon Bangalore,"ýýý 1,763",Koramangala | 4.9 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 724 Off,4, (Very Good),153,71%,"['Kitchenette', 'Living Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,137
Capital O 29584 Fortune Gateway,"ýýý 1,451",Sonnapanahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 358 Off,4.1, (Very Good),462,24%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,09-08-2021,11-08-2021,138
I V Sanctum,"ýýý 2,110",Gandhi Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,3.9, (Good),1195,19%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,139
Tranzotel Bangalore Airport,ýýý 814,Hunasamaranahalli | 500 m from Hunasamaranahalli Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 691 Off,3.9, (Good),355,30%,"['Free Parking', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,140
Atlaantic Inn,ýýý 812,Jaya Chamarajendra Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 817 Off,3.7, (Good),12,51%,"['Lounge', 'Tours and Treks', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,141
Pai Viceroy,"ýýý 2,954",Jayanagar | 4.0 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,4.2, (Very Good),257,16%,"['Butler Services', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,142
X by Bloom l Indiranagar,"ýýý 2,250",Hoysala Nagar,,3.9, (Good),542,37%,"['Free Parking', 'Vehicle Rentals', 'Cafe']",Bangalore,09-08-2021,11-08-2021,143
Coral Tree,"ýýý 2,749",R. T. Nagar | 3.5 km from Bangalore Cantt. Railway Station,,4.6, (Excellent),611,38%,"['Conference Room', 'Bar', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,144
Capital O 37517 Withinn Hotel,"ýýý 1,346",Mathikere,Exclusive Offer - HDFC Credit Card Users. Get INR 332 Off,4, (Very Good),523,16%,"['Kitchenette', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,145
Caramel Hotels,ýýý 982,Armane Nagar | 2.2 km from Lottegollahalli Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 476 Off,4.6, (Excellent),128,10%,"['Lounge', 'Free Parking', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,146
Holiday Inn Express Bengaluru Yeshwantpur,"ýýý 1,880",Tumkur road,,3.7, (Good),671,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,147
Courtyard by Marriott Bengaluru Hebbal,"ýýý 4,388",Outer Ring Road | 2.7 km from Manyata Embassy Business Park,,4.2, (Very Good),125,51%,"['Free Parking', 'Free Shuttle Service', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,148
"Taj MG Road, Bengaluru","ýýý 4,500",Ulsoor,HDFC Credit Card Offer. Get INR 1350 Off & INR 500 TAJ Gift Card,4.3, (Very Good),221,37%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,149
The Ritz-Carlton,"ýýý 4,688",Residency Road | 4.9 km from Kempegowda Bus Station,,4.1, (Very Good),716,14%,"['Yoga', 'Lounge', 'Indoor Games']",Bangalore,09-08-2021,11-08-2021,150
The Pride Hotel Bangalore,"ýýý 3,299",Richmond road | 3.7 km from Kempegowda Bus Station,,4.7, (Excellent),136,,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,151
Capital O 12543 3 Square,"ýýý 1,422",Outer Ring Road | 1.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 351 Off,4.6, (Excellent),793,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,152
Aloft Bengaluru Cessna Business Park,"ýýý 2,999",Kadubeesanahalli | 700 m from Cessna Business Park,,4.8, (Excellent),154,,"['Lounge', 'Indoor Games', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,153
Ballal Residency,"ýýý 1,863",Residency Road | 160 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1158 Off,3.8, (Good),933,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,154
OYO 46682 New Andra House,"ýýý 1,744",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 431 Off,4.2, (Very Good),121,51%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,155
Golden Lotus,"ýýý 1,684",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 429 Off,4.6, (Excellent),129,,"['Living Room', 'Free Wi-Fi', 'Power Backup']",Bangalore,09-08-2021,11-08-2021,156
Hotel Bella Vista,"ýýý 1,752",Jigani | 26.7 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1089 Off,3.9, (Good),667,40%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,157
Hotel ABM Express Inn,ýýý 831,Gandhi Nagar | 1.1 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 374 Off,3.7, (Good),72,51%,"['Free Wi-Fi', 'Elevator/Lift', '24-hour Room Service']",Bangalore,09-08-2021,11-08-2021,158
Daffodil Delight,"ýýý 1,149",HBR Layout | 1.7 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 587 Off,3.9, (Good),461,15%,"['Indoor Games', 'Free Parking', 'Vehicle Rentals']",Bangalore,09-08-2021,11-08-2021,159
Istay Hotels Rajajinagar,"ýýý 1,596",Rajajinagar | 4.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 774 Off,4.4, (Very Good),44,20%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,160
OYO 14397 Varcity Phi Pavilion,"ýýý 1,318",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 326 Off,4.1, (Very Good),183,14%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,161
Akshaya Aura,"ýýý 2,202",Gandhi Nagar | 1.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1069 Off,4, (Very Good),186,21%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,162
"ITC Windsor,A Luxury Collection Hotel","ýýý 3,400",Vasanth Nagar | 4.0 km from Kempegowda Bus Station,Get  INR 340 Cashback to Card,3.7, (Good),465,24%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,163
Capital O 19360 Sai Suites Inn,"ýýý 1,485",Outer Ring Road | 1.5 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 367 Off,3.3, (Good),159,51%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Bangalore,09-08-2021,11-08-2021,164
A V Comforts,"ýýý 1,114",Amruthahalli | 230 m from Hunasamaranahalli Bus Stop,,4, (Very Good),811,24%,"['Lounge', 'Butler Services', 'Tours and Treks']",Bangalore,09-08-2021,11-08-2021,165
THE HHI Select (The Hotel Hindusthan International Bangalore),"ýýý 2,284",Outer Ring Road | 2.1 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 582 Off,4.3, (Very Good),492,60%,['Couple Friendly'],Bangalore,09-08-2021,11-08-2021,166
NPG Hotel,"ýýý 1,482",Chikkajala | 25.1 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 719 Off,4.1, (Very Good),56,51%,"['Free Parking', 'Free Shuttle Service', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,167
HOTEL PALLADIUM SUITES,"ýýý 1,421",Gandhi Nagar | 1.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1101 Off,3.9, (Good),200,23%,"['Free Parking', 'Conference Room', 'Cafe']",Bangalore,09-08-2021,11-08-2021,168
Hotel Presidency,"ýýý 1,929",Yerthiganahalli | 28.6 km from city centre7.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,3.4, (Good),382,15%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Bangalore,09-08-2021,11-08-2021,169
Octave Hotel & Spa Sarjapur Rd,"ýýý 1,488",Harlur,,4.2, (Very Good),129,24%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,170
Northern Suites @ E Block,ýýý 841,Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 292 Off,3.9, (Good),88,29%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,171
The President Hotel,"ýýý 2,786",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1353 Off,3.5, (Good),793,44%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,172
Blue Bells Boutique Hotel,"ýýý 1,348",Koramangala | 840 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 837 Off,2.9,,861,,"['Indoor Games', 'Free Parking', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,173
Hotel Silicrest,"ýýý 1,556",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 1206 Off,4.1, (Very Good),87,53%,"['Butler Services', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,174
AACCORD SUITES INN,"ýýý 1,645",Bannerghatta Main road | 1.1 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 420 Off,4.2, (Very Good),390,16%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,175
Keys Select Whitefield- By Lemon Tree Hotels,"ýýý 1,639",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 850 Off,4.1, (Very Good),118,20%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,176
Comfy - Koramangla,"ýýý 1,338",Sadduguntepalya | 570 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 487 Off,3.6, (Good),202,40%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,177
Icon Suites by Bhagini,"ýýý 1,438",Marathahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 1023 Off,4.3, (Very Good),54,18%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,178
OYO 9026 JJ Palace,"ýýý 1,693",Mailasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 418 Off,3.9, (Good),1567,33%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,179
Omicron Hotel 1 BHK Studio Rooms,"ýýý 1,123",Thanisandra | 3.3 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 545 Off,4.4, (Very Good),116,11%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,09-08-2021,11-08-2021,180
Holiday Inn Bengaluru Racecourse,"ýýý 2,448",Gandhi Nagar | 1.6 km from Kempegowda Bus Station,,3.2, (Good),454,42%,"['Lounge', 'Kids Play Area', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,181
RG Royal Hotel,"ýýý 1,371",Yeshwanthpur,Exclusive Offer - HDFC Credit Card Users. Get INR 665 Off,3.8, (Good),12,51%,"['Indoor Games', 'Outdoor Sports', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,182
Ibis Bengaluru Hosur Road ,"ýýý 1,899",Hosur road | 4.7 km from Jayadeva Hospital,,4.2, (Very Good),55,20%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,183
Taj West End,"ýýý 7,000",Sampangi Rama Nagar | 3.5 km from Kempegowda Bus Station,HDFC Credit Card Offer. Get INR 2100 Off & INR 500 TAJ Gift Card,4.1, (Very Good),725,14%,"['Lounge', 'Butler Services', 'Kids Play Area']",Bangalore,09-08-2021,11-08-2021,184
Royal Lotus View,"ýýý 3,123",Meenakunte | 29.5 km from city centre9.5 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1517 Off,4.1, (Very Good),436,45%,"['Lounge', 'Indoor Games', 'Outdoor Sports']",Bangalore,09-08-2021,11-08-2021,185
Vivanta Bengaluru Residency Road,"ýýý 3,500",Residency Road | 5.0 km from Kempegowda Bus Station,HDFC Credit Card Offer. Get INR 1050 Off & INR 500 TAJ Gift Card,4.3, (Very Good),840,27%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,186
Radha Hometel Whitefield - A Sarovar Hotel,"ýýý 3,790",Brookefield,,4.2, (Very Good),251,8%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,187
OYO 6825 New Crescent Citadel,"ýýý 1,481",HAL old airport road | 1.2 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 366 Off,4.2, (Very Good),145,26%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,188
Hotel Ajantha,"ýýý 1,176",Ashok Nagar | 2.1 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 632 Off,4.4, (Very Good),443,,"['Conference Room', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,189
Hotel City Centaur,ýýý 949,Near Bangalore Train Station | 950 m from Bangalore City Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 590 Off,4.2, (Very Good),572,,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,190
Sairam Residency Boutique Hotel,"ýýý 1,197",Gandhi Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 928 Off,3.5, (Good),141,51%,['Couple Friendly'],Bangalore,09-08-2021,11-08-2021,191
SHERATON GRAND BENGALURU WHITEFIELD HOTEL & CONVENTION CENTRE,"ýýý 4,138",Kundalahalli Gate road,,3.6, (Good),225,27%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,192
Srinidhi Grand Inn,"ýýý 3,087",Mysore road,Exclusive Offer - HDFC Credit Card Users. Get INR 1124 Off,3.7, (Good),1623,36%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,193
Shangri-La Hotel,"ýýý 7,000",Palace road | 810 m from Vikram Hospital,,4.1, (Very Good),823,25%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,09-08-2021,11-08-2021,194
Capital O 2235 Oh My Rooms Indranagar,"ýýý 2,113",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 522 Off,4.7, (Excellent),75,,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bangalore,09-08-2021,11-08-2021,195
